"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM17","2024-02-16","1","Surface Water","0.7","0.016","3.2","108","8.1","<1","<1","0.021","<0.002","<0.002","8.2","2.9","34.1","2.8","0.36","2.7","19.7","0.04","0.06","0.08","0.04","0.2","<0.001","1"
"Southern","SM17","2024-02-16","1","Middle Water","0.7","0.015","4.2","107","8","<1","1","0.019","<0.002","<0.002","8.2","1.2","34.1","2.8","0.39","5.6","19.5","0.04","0.2","0.22","0.08","0.4","<0.001","1.4"
"Southern","SM17","2024-02-16","1","Bottom Water","0.6","0.018","5","105","7.9","<1","<1","0.019","<0.002","<0.002","8.2","1.3","34.1","2.8","0.42","3.6","19.4","0.04","0.07","0.09","0.04","0.5","<0.001","1"
"Southern","SM17","2024-03-02","1","Surface Water","<0.1","0.024","2","95","7.2","<1","<1","0.038","<0.002","0.004","8.1","0.5","34.1","4","0.31","2.2","19.4","0.06","0.2","0.24","0.04","0.4","<0.001","0.7"
"Southern","SM17","2024-03-02","1","Middle Water","<0.1","0.027","1.7","93","7","<1","<1","0.033","<0.002","0.003","8.1","<0.2","34.2","4","0.3","2.2","19.7","0.06","0.16","0.2","0.03","0.5","<0.001","0.5"
"Southern","SM17","2024-03-02","1","Bottom Water","<0.1","0.029","1.3","93","7","1","1","0.035","<0.002","0.003","8.1","0.4","34.2","4","0.32","15","19.7","0.07","0.12","0.16","0.03","0.5","<0.001","2.5"
"Southern","SM17","2024-04-19","1","Surface Water","0.8","0.018","1.1","107","7.6","<1","<1","0.46","0.024","<0.002","7.9","<0.2","23.6","3.9","1.4","<0.5","25.9","0.5","0.16","0.64","0.07","2.3","<0.001","<0.5"
"Southern","SM17","2024-04-19","1","Middle Water","1.3","0.008","1.4","112","7.9","4","6","0.47","0.025","<0.002","7.8","0.4","25","3.9","1.4","0.9","25.9","0.5","0.17","0.67","0.06","2.2","<0.001","<0.5"
"Southern","SM17","2024-04-19","1","Bottom Water","1","0.035","1.5","90","6.2","5","13","0.24","0.01","<0.002","7.6","<0.2","32.5","3.9","0.87","1.5","24.4","0.29","0.22","0.47","0.08","2.6","<0.001","0.5"
"Southern","SM17","2024-05-22","1","Surface Water","0.3","0.069","1.4","90","6.2","3","56","0.11","0.004","<0.002","8.2","<0.2","29.6","2","0.53","1.3","26","0.18","0.23","0.34","0.05","10.1","0.005","0.8"
"Southern","SM17","2024-05-22","1","Middle Water","<0.1","0.089","1.3","72","5","7","57","0.079","0.003","0.007","8.2","<0.2","30.7","2","0.33","1.4","25.7","0.17","0.23","0.31","0.06","1.1","0.006","0.8"
"Southern","SM17","2024-05-22","1","Bottom Water","<0.1","0.069","1.5","77","5.2","4","32","0.065","0.003","0.006","8.2","<0.2","32.1","2","0.29","4.3","25.6","0.14","0.23","0.3","0.06","4.5","0.005","1.2"
"Southern","SM17","2024-06-22","1","Surface Water","0.6","0.015","9.8","83","5.9","16","46","1","0.083","0.015","8.2","2.7","15.9","1.6","6","2.8","28.7","1.1","0.17","1.25","0.04","4.6","0.001","0.6"
"Southern","SM17","2024-06-22","1","Middle Water","0.4","0.019","11","79","5.5","8","36","0.69","0.081","0.018","8.1","3.4","23","1.6","4.3","4.4","27.6","0.79","0.19","0.96","0.05","3.4","0.001","1.1"
"Southern","SM17","2024-06-22","1","Bottom Water","<0.1","0.014","5.6","52","3.5","11","25","0.34","0.077","0.011","8","1.6","32.5","1.6","2.1","4.4","26.5","0.43","0.16","0.58","0.06","4.5","<0.001","0.8"
"Southern","SM17","2024-07-11","1","Surface Water","1.6","0.012","14","102","7.1","<1","<1","1","0.025","<0.002","8.3","3.4","14.9","2","6.4","2.7","29.7","1.04","0.23","1.26","0.04","3.9","0.002","1"
"Southern","SM17","2024-07-11","1","Middle Water","1.3","0.025","17","102","7.2","<1","2","0.73","0.022","0.002","7.9","14","19.2","2","3.8","2.7","28.3","0.78","0.35","1.1","0.04","1.2","0.001","0.6"
"Southern","SM17","2024-07-11","1","Bottom Water","1.9","0.02","13","86","6","<1","3","0.48","0.021","0.006","7.9","6","20.8","2","2.1","3.6","28.3","0.52","0.29","0.79","0.05","1.3","<0.001","0.8"
"Southern","SM17","2024-08-23","1","Surface Water","0.5","0.016","1.5","89","6.1","<1","<1","0.56","0.098","0.024","8","0.4","25.3","1.8","3.8","1.8","27.4","0.67","0.12","0.78","0.13","2.6","<0.001","<0.5"
"Southern","SM17","2024-08-23","1","Middle Water","0.8","0.017","1.7","48","3.3","<1","<1","0.5","0.096","0.023","8","0.5","25.6","1.8","3.9","2.2","27","0.61","0.12","0.72","0.13","2.6","<0.001","<0.5"
"Southern","SM17","2024-08-23","1","Bottom Water","0.5","0.006","1.5","53","3.7","1","3","0.21","0.063","0.014","8.1","0.4","28.7","1.8","1.8","5.4","25.2","0.28","0.12","0.39","0.15","4.1","<0.001","1"
"Southern","SM17","2024-09-27","1","Surface Water","<0.1","0.007","6","81","5.3","<1","4","0.056","0.027","0.009","8.1","<0.2","27.1","2.3","1.4","12","29.5","0.09","0.18","0.26","0.06","2.9","<0.001","2.7"
"Southern","SM17","2024-09-27","1","Middle Water","<0.1","0.023","3","72","4.7","<1","1","0.053","0.031","0.005","8.1","1.3","27.7","2.3","1.4","4.2","29.3","0.11","0.19","0.27","0.07","3.2","0.002","1"
"Southern","SM17","2024-09-27","1","Bottom Water","<0.1","0.024","2.1","62","4.1","<1","<1","0.069","0.037","0.007","8.1","<0.2","30.5","2.3","1.4","4.4","29.1","0.13","0.2","0.31","0.07","4.5","0.002","1.3"
"Southern","SM17","2024-10-17","1","Surface Water","0.4","0.095","3","97","6.3","3","3","0.06","0.024","0.011","7.8","0.8","32.5","1.8","1.1","6.5","28.5","0.18","0.29","0.37","0.17","5.3","0.003","1.2"
"Southern","SM17","2024-10-17","1","Middle Water","0.3","0.09","2.5","66","4.3","6","10","0.056","0.022","0.012","7.8","1.4","32.4","1.8","1.1","7.5","28.3","0.17","0.3","0.38","0.17","6.3","0.003","1.2"
"Southern","SM17","2024-10-17","1","Bottom Water","<0.1","0.072","2.3","56","3.6","1","5","0.047","0.016","0.01","7.8","1.3","32.4","1.8","0.93","4","28.2","0.14","0.24","0.3","0.17","22","0.002","0.6"
"Southern","SM17","2024-11-25","1","Surface Water","0.1","0.006","2.2","95","6.7","<1","<1","0.21","0.016","0.023","7.8","<0.2","32.1","1.6","1.8","3.4","23.6","0.23","0.11","0.34","0.1","6.2","<0.001","0.8"
"Southern","SM17","2024-11-25","1","Middle Water","<0.1","<0.005","0.5","84","5.9","<1","<1","0.21","0.016","0.023","7.8","0.4","32.2","1.6","1.9","8.4","23.5","0.23","0.11","0.34","0.08","9","<0.001","0.8"
"Southern","SM17","2024-11-25","1","Bottom Water","<0.1","<0.005","0.8","77","5.4","<1","1","0.22","0.032","0.022","7.8","0.9","32.3","1.6","1.9","9.5","23.5","0.26","0.09","0.34","0.07","11","<0.001","0.8"
"Southern","SM17","2024-12-13","1","Surface Water","0.5","0.041","2.5","90","6.6","<1","4","0.18","0.012","0.016","7.8","0.3","31.8","2.4","1.4","3.6","21.5","0.23","0.17","0.36","0.05","3.5","<0.001","0.9"
"Southern","SM17","2024-12-13","1","Middle Water","0.4","0.039","1.8","87","6.4","<1","<1","0.16","0.012","0.016","7.8","0.5","32","2.4","1.6","3.1","21.5","0.21","0.15","0.32","0.06","3.6","<0.001","0.8"
"Southern","SM17","2024-12-13","1","Bottom Water","0.4","0.027","1.1","77","5.7","<1","<1","0.057","0.014","0.016","7.8","0.9","31.8","2.4","1.6","4","21.5","0.1","0.13","0.2","0.04","4.3","<0.001","0.8"
"Southern","SM18","2024-01-04","1","Surface Water","0.4","0.007","0.9","88","6.6","1","3","0.039","0.036","0.01","8.1","<0.2","33.5","2.3","0.73","2.4","19.5","0.08","0.08","0.16","0.03","0.7","<0.001","1"
"Southern","SM18","2024-01-04","1","Middle Water","0.5","<0.005","0.9","95","7.2","<1","1","0.035","0.032","0.005","8.1","<0.2","33.5","2.3","0.79","3.7","19.5","0.07","0.07","0.14","0.03","0.6","<0.001","1.3"
"Southern","SM18","2024-01-04","1","Bottom Water","0.4","0.006","0.9","95","7.2","<1","1","0.033","0.033","0.008","8.1","<0.2","33.5","2.3","0.77","2.5","19.5","0.07","<0.05","0.12","0.03","2.2","<0.001","1"
"Southern","SM18","2024-02-19","1","Surface Water","1","0.012","1.3","101","7.5","<1","4","0.02","<0.002","<0.002","8.2","1.3","34","8.2","0.49","2","19.8","0.03","0.06","0.08","0.03","0.2","<0.001","0.7"
"Southern","SM18","2024-02-19","1","Middle Water","0.7","0.01","1.3","100","7.5","<1","<1","0.012","<0.002","<0.002","8.2","0.2","34.1","8.2","0.52","2","19.4","0.02","0.06","0.07","0.03","0.1","<0.001","0.6"
"Southern","SM18","2024-02-19","1","Bottom Water","0.6","0.019","0.9","96","7.2","<1","<1","0.016","<0.002","0.004","8.2","0.3","34.1","8.2","0.51","4.1","19.2","0.04","<0.05","0.07","0.03","0.4","<0.001","1.2"
"Southern","SM18","2024-03-07","1","Surface Water","1.1","0.038","2.1","97","7.2","<1","2","0.015","<0.002","0.003","8.1","<0.2","34.4","4.9","0.24","1","20.4","0.06","0.11","0.13","0.03","0.1","0.002","<0.5"
"Southern","SM18","2024-03-07","1","Middle Water","0.8","0.024","1.7","98","7.2","<1","<1","0.009","<0.002","<0.002","8.1","0.3","34.4","4.9","0.26","<0.5","20.4","0.04","0.11","0.12","0.03","0.2","0.001","<0.5"
"Southern","SM18","2024-03-07","1","Bottom Water","1","0.024","0.9","96","7.1","<1","<1","<0.002","<0.002","<0.002","8.1","<0.2","34.4","4.9","0.23","1","20.2","0.03","0.11","0.11","0.03","0.7","<0.001","<0.5"
"Southern","SM18","2024-04-24","1","Surface Water","0.5","0.097","0.4","110","7.8","6","31","0.46","0.03","0.015","8.2","0.2","25.3","3.3","2.1","1.7","25.3","0.59","0.25","0.74","0.05","2.3","0.006","0.8"
"Southern","SM18","2024-04-24","1","Middle Water","<0.1","0.081","<0.2","70","4.8","<1","2","0.087","0.003","0.008","8.2","<0.2","32.5","3.3","0.79","4.1","24.4","0.17","0.21","0.3","0.06","2.4","0.005","1.2"
"Southern","SM18","2024-04-24","1","Bottom Water","0.1","0.064","0.5","69","4.8","1","3","0.041","<0.002","0.006","8.2","<0.2","34","3.3","0.64","12","24","0.11","0.23","0.27","0.06","10","0.004","2.5"
"Southern","SM18","2024-05-23","1","Surface Water","<0.1","0.032","1.1","68","4.6","1","110","0.028","<0.002","0.002","8.2","0.3","31.8","5.8","0.22","3.1","25.8","0.06","0.2","0.23","0.06","0.3","0.002","0.9"
"Southern","SM18","2024-05-23","1","Middle Water","<0.1","0.023","1.4","85","5.8","<1","2","0.027","<0.002","<0.002","8.2","<0.2","32","5.8","0.19","2.6","25.6","0.05","0.19","0.22","0.07","0.7","0.002","0.7"
"Southern","SM18","2024-05-23","1","Bottom Water","2.6","0.017","1.5","78","5.3","1","3","0.022","<0.002","<0.002","8.2","<0.2","32.4","5.8","0.2","<0.5","25.5","0.04","0.08","0.1","0.07","4.3","0.001","<0.5"
"Southern","SM18","2024-06-08","1","Surface Water","<0.1","0.066","2.8","87","5.9","<1","1","0.036","0.004","0.003","8.1","<0.2","32.1","2.6","0.53","2.6","26","0.11","0.09","0.13","0.05","1.7","0.004","0.6"
"Southern","SM18","2024-06-08","1","Middle Water","0.3","0.034","2.3","78","5.3","1","2","0.031","<0.002","0.003","8.1","<0.2","32.3","2.6","0.49","1.8","25.9","0.07","0.11","0.14","0.07","1.4","0.002","0.6"
"Southern","SM18","2024-06-08","1","Bottom Water","<0.1","0.024","1.7","84","5.6","<1","1","0.023","<0.002","0.004","8.1","<0.2","32.6","2.6","0.4","3.2","25.9","0.05","0.1","0.13","0.08","2.1","0.001","1.6"
"Southern","SM18","2024-07-12","1","Surface Water","1.6","0.01","13","134","9.4","<1","4","0.75","0.023","0.023","8.5","3.5","15.6","2.2","4.3","2.7","29.6","0.78","0.28","1.05","0.03","1.9","0.002","1"
"Southern","SM18","2024-07-12","1","Middle Water","0.7","0.012","6.4","103","7.1","<1","<1","0.28","0.01","0.003","8","3.3","19.7","2.2","1.5","1.8","28.6","0.3","0.17","0.46","0.05","0.7","<0.001","<0.5"
"Southern","SM18","2024-07-12","1","Bottom Water","0.7","0.02","3.2","95","6.6","<1","5","0.14","0.016","0.008","7.8","1.9","23.3","2.2","1.6","2.7","27.3","0.18","0.2","0.36","0.08","3.7","<0.001","<0.5"
"Southern","SM18","2024-08-22","1","Surface Water","1.1","0.01","2.4","97","6.7","<1","<1","0.48","0.11","0.019","8.1","<0.2","26","2.5","4","1.1","26.7","0.6","0.16","0.75","0.1","1.4","<0.001","0.7"
"Southern","SM18","2024-08-22","1","Middle Water","0.8","0.016","1.5","54","3.7","11","23","0.2","0.062","0.018","8.1","<0.2","32","2.5","1.9","2.2","24.6","0.28","0.13","0.39","0.12","2.4","<0.001","0.8"
"Southern","SM18","2024-08-22","1","Bottom Water","0.6","0.007","0.5","47","3.3","6","14","0.12","0.057","0.018","8","0.4","33.7","2.5","1.7","4.3","24.2","0.18","0.11","0.29","0.13","5.6","<0.001","0.9"
"Southern","SM18","2024-09-25","1","Surface Water","0.8","0.05","1.6","76","4.9","<1","2","0.077","0.002","0.002","8.1","0.5","30","2.5","1.8","3.1","28.9","0.13","0.21","0.29","0.21","1.3","0.003","0.9"
"Southern","SM18","2024-09-25","1","Middle Water","0.3","0.018","1.6","86","5.5","1","1","0.056","0.015","0.004","8.1","<0.2","32.4","2.5","1.2","2.1","29","0.09","0.14","0.21","0.11","0.8","0.001","0.6"
"Southern","SM18","2024-09-25","1","Bottom Water","0.2","0.03","0.8","70","4.5","1","2","0.035","0.009","0.005","8.1","0.5","33","2.5","0.8","5.5","29","0.07","0.2","0.24","0.11","11","0.002","1"
"Southern","SM18","2024-10-21","1","Surface Water","<0.1","0.046","0.8","103","6.7","<1","<1","0.045","0.024","0.007","7.9","0.7","32.7","2","0.91","4.8","28.3","0.12","0.11","0.18","0.16","4.2","0.002","0.7"
"Southern","SM18","2024-10-21","1","Middle Water","<0.1","0.037","1.1","77","5","<1","1","0.035","0.023","0.007","7.9","0.5","32.7","2","0.93","4.2","28.1","0.1","0.13","0.19","0.17","4.6","0.002","0.7"
"Southern","SM18","2024-10-21","1","Bottom Water","<0.1","0.02","0.9","65","4.2","<1","<1","0.03","0.021","0.007","7.9","0.9","32.7","2","0.82","4.4","28","0.07","0.11","0.16","0.13","13.3","<0.001","0.7"
"Southern","SM18","2024-11-28","1","Surface Water","0.6","0.011","0.8","87","6.2","<1","<1","0.21","0.003","0.028","7.9","0.7","32.1","2.1","1.9","6.6","22.9","0.22","<0.05","0.26","0.15","8","<0.001","1.4"
"Southern","SM18","2024-11-28","1","Middle Water","0.5","0.011","0.9","88","6.3","<1","1","0.21","0.003","0.026","7.9","0.5","32.1","2.1","2","7.2","22.9","0.22","<0.05","0.26","0.13","7.2","<0.001","1.3"
"Southern","SM18","2024-11-28","1","Bottom Water","0.5","0.009","0.8","80","5.7","<1","<1","0.21","0.004","0.028","7.9","0.7","32.1","2.1","1.8","25","22.9","0.22","0.09","0.3","0.09","11.3","<0.001","4"
"Southern","SM18","2024-12-11","1","Surface Water","1.5","0.05","2.9","76","5.5","1","2","0.14","0.008","0.015","7.8","0.5","32","2.2","1.5","3","22","0.2","0.2","0.35","0.14","3.1","0.001","0.7"
"Southern","SM18","2024-12-11","1","Middle Water","0.6","0.056","1.2","80","5.8","<1","<1","0.16","0.009","0.013","7.8","0.8","32.2","2.2","1.6","4.4","21.8","0.23","0.16","0.33","0.04","4","0.001","0.9"
"Southern","SM18","2024-12-11","1","Bottom Water","0.6","0.043","1.4","79","5.8","<1","<1","0.15","0.008","0.016","7.8","0.9","32.1","2.2","1.6","5.2","21.8","0.2","0.15","0.31","0.04","7.2","<0.001","1"
"Southern","SM19","2024-01-04","1","Surface Water","0.4","0.011","0.4","87","6.6","<1","<1","0.033","0.032","0.008","8.1","<0.2","33.5","2.7","0.72","3.4","19.2","0.08","0.09","0.16","0.05","0.7","<0.001","1.8"
"Southern","SM19","2024-01-04","1","Middle Water","0.3","0.006","0.5","94","7.1","<1","<1","0.031","0.031","0.006","8.1","<0.2","33.5","2.7","0.76","2.6","19.2","0.07","<0.05","0.11","0.03","0.7","<0.001","1.3"
"Southern","SM19","2024-01-04","1","Bottom Water","0.3","0.005","0.5","95","7.2","<1","<1","0.015","0.03","0.006","8.1","<0.2","33.5","2.7","0.78","3.2","19.2","0.05","<0.05","0.1","0.03","1","<0.001","1.2"
"Southern","SM19","2024-02-19","1","Surface Water","1.4","0.012","0.7","98","7.3","1","3","0.018","<0.002","<0.002","8.2","0.6","34.3","9.6","0.35","1.4","20","0.03","0.06","0.08","0.03","0.2","<0.001","0.5"
"Southern","SM19","2024-02-19","1","Middle Water","0.7","0.013","0.8","98","7.3","<1","<1","0.011","<0.002","<0.002","8.2","<0.2","34.3","9.6","0.38","1.6","19.9","0.03","0.05","0.06","0.04","0.1","<0.001","0.5"
"Southern","SM19","2024-02-19","1","Bottom Water","0.6","0.012","0.8","96","7.3","<1","<1","0.012","<0.002","<0.002","8.2","<0.2","34.1","9.6","0.5","2.3","19.3","0.03","<0.05","0.06","0.03","0.2","<0.001","<0.5"
"Southern","SM19","2024-03-07","1","Surface Water","1.1","0.025","2.4","81","6","5","9","0.003","<0.002","0.003","8.1","<0.2","34.4","3.3","0.23","0.8","20.1","0.03","0.11","0.12","0.03","0.2","0.001","0.6"
"Southern","SM19","2024-03-07","1","Middle Water","0.8","0.016","2.5","93","6.9","2","2","0.013","<0.002","0.006","8.1","<0.2","34.4","3.3","0.26","0.5","20","0.03","0.18","0.2","0.04","0.3","<0.001","0.5"
"Southern","SM19","2024-03-07","1","Bottom Water","0.8","0.026","2","93","6.9","2","3","0.004","<0.002","<0.002","8.1","<0.2","34.4","3.3","0.24","1.9","20","0.03","0.17","0.18","0.03","0.4","<0.001","<0.5"
"Southern","SM19","2024-04-24","1","Surface Water","0.5","0.13","0.2","107","7.5","8","40","0.44","0.019","0.016","8.2","<0.2","27.6","2.7","1.8","2.6","24.9","0.59","0.28","0.74","0.05","1.3","0.008","1"
"Southern","SM19","2024-04-24","1","Middle Water","<0.1","0.043","0.4","69","4.8","1","2","0.084","<0.002","0.003","8.2","<0.2","32.6","2.7","0.43","2.2","24.5","0.13","0.19","0.28","0.05","0.3","0.003","0.8"
"Southern","SM19","2024-04-24","1","Bottom Water","0.2","0.028","0.3","76","5.3","<1","1","0.028","<0.002","0.006","8.2","<0.2","34.3","2.7","0.51","7.8","23.7","0.06","0.14","0.17","0.06","8","0.002","1.5"
"Southern","SM19","2024-05-23","1","Surface Water","<0.1","0.014","1.6","92","6.3","<1","2","0.025","<0.002","<0.002","8.2","<0.2","32.2","3.3","0.26","4.6","25.5","0.04","0.12","0.15","0.07","1","<0.001","1.4"
"Southern","SM19","2024-05-23","1","Middle Water","0.5","0.018","1","80","5.4","3","9","0.029","<0.002","<0.002","8.2","<0.2","32.2","3.3","0.23","1.1","25.6","0.05","0.11","0.14","0.07","1.2","0.001","<0.5"
"Southern","SM19","2024-05-23","1","Bottom Water","<0.1","0.02","1.7","66","4.5","1","6","0.023","<0.002","<0.002","8.2","<0.2","32.7","3.3","0.28","2.2","25.5","0.05","0.11","0.14","0.08","3.5","0.001","1.2"
"Southern","SM19","2024-06-08","1","Surface Water","<0.1","0.024","1.9","71","4.8","<1","2","0.017","0.006","0.003","8.1","<0.2","32.3","2.4","0.4","<0.5","25.9","0.05","0.11","0.13","0.06","1.6","0.001","<0.5"
"Southern","SM19","2024-06-08","1","Middle Water","0.2","0.026","1.3","63","4.3","<1","<1","0.015","0.004","0.006","8.1","<0.2","32.3","2.4","0.38","3","25.9","0.05","0.11","0.13","0.07","1.7","0.002","0.8"
"Southern","SM19","2024-06-08","1","Bottom Water","0.1","0.008","1.2","59","4","<1","<1","0.015","0.002","<0.002","8.1","<0.2","32.4","2.4","0.39","3.1","25.9","0.03","0.1","0.12","0.06","4.3","<0.001","0.5"
"Southern","SM19","2024-07-12","1","Surface Water","1.3","0.01","8.2","97","6.7","<1","1","0.71","0.011","<0.002","8.5","1.6","17.2","1.9","2.8","2.3","29.3","0.73","0.23","0.95","0.03","1.3","0.002","1"
"Southern","SM19","2024-07-12","1","Middle Water","0.4","0.01","3","84","6","<1","2","0.18","0.015","0.006","7.8","1.8","18.3","1.9","1.4","1.6","28.1","0.21","0.16","0.36","0.07","0.7","<0.001","<0.5"
"Southern","SM19","2024-07-12","1","Bottom Water","0.3","0.008","0.8","90","6.4","<1","<1","0.1","0.014","0.007","7.8","0.4","22","1.9","1.4","3.8","26.5","0.12","0.14","0.25","0.08","5.8","<0.001","<0.5"
"Southern","SM19","2024-08-22","1","Surface Water","1.1","0.057","3.6","90","6.2","3","11","0.39","0.08","0.019","8","0.4","28.3","2.1","2","1.6","25.8","0.53","0.19","0.66","0.12","1.6","0.003","1"
"Southern","SM19","2024-08-22","1","Middle Water","0.6","0.013","1.3","44","3.1","6","18","0.14","0.044","0.014","8.1","<0.2","33.6","2.1","1.4","3.4","23.8","0.2","0.14","0.32","0.13","3.3","<0.001","1"
"Southern","SM19","2024-08-22","1","Bottom Water","0.5","0.007","0.4","46","3.2","<1","2","0.089","0.04","0.015","8.1","<0.2","34.2","2.1","1.3","5","23.8","0.14","0.09","0.22","0.13","8.8","<0.001","1"
"Southern","SM19","2024-09-25","1","Surface Water","0.4","0.008","2.9","79","5.1","<1","<1","0.13","0.057","0.014","8.1","<0.2","31.3","4","1.6","1.7","28.9","0.2","0.13","0.32","0.23","0.6","<0.001","0.6"
"Southern","SM19","2024-09-25","1","Middle Water","0.3","0.021","2.1","84","5.4","<1","<1","0.059","0.031","0.005","8.1","<0.2","32.1","4","0.96","2","29","0.11","0.15","0.24","0.14","0.7","0.001","0.6"
"Southern","SM19","2024-09-25","1","Bottom Water","<0.1","0.025","1.4","74","4.7","<1","3","0.029","0.019","0.012","8.1","0.3","33","4","0.91","6.4","29.1","0.07","0.19","0.24","0.12","7.1","0.002","1.6"
"Southern","SM19","2024-10-21","1","Surface Water","0.9","0.027","1.1","77","5","1","1","0.021","0.008","0.009","7.9","0.7","32.6","2.1","0.79","7.8","28","0.06","0.14","0.17","0.17","2.7","0.001","1.2"
"Southern","SM19","2024-10-21","1","Middle Water","0.6","0.015","0.9","71","4.6","1","4","0.024","0.007","0.01","7.9","0.8","32.5","2.1","0.85","2.7","28","0.05","0.16","0.19","0.16","4.4","<0.001","<0.5"
"Southern","SM19","2024-10-21","1","Bottom Water","0.7","0.019","1.1","69","4.5","<1","2","0.022","0.008","0.01","7.9","0.4","32.6","2.1","0.74","6.2","28","0.05","0.09","0.12","0.14","4.9","<0.001","2"
"Southern","SM19","2024-11-28","1","Surface Water","0.6","0.01","0.6","79","5.7","<1","<1","0.21","0.004","0.027","7.9","0.5","31.8","1.9","1.9","7.6","22.6","0.22","0.1","0.31","0.13","7","<0.001","1.2"
"Southern","SM19","2024-11-28","1","Middle Water","0.6","0.006","0.7","73","5.3","<1","1","0.21","0.006","0.027","7.9","0.6","31.7","1.9","1.9","9.6","22.7","0.22","<0.05","0.27","0.15","7.7","<0.001","1.5"
"Southern","SM19","2024-11-28","1","Bottom Water","0.6","<0.005","0.7","73","5.3","<1","1","0.22","0.003","0.028","7.9","0.7","31.9","1.9","1.7","5","22.7","0.23","0.1","0.32","0.08","13.2","<0.001","0.9"
"Southern","SM19","2024-12-11","1","Surface Water","0.9","0.052","5.2","99","7.3","2","3","0.11","0.005","0.013","7.9","0.7","31.4","3.1","1.1","3","21.6","0.17","0.23","0.35","0.04","2.5","0.001","0.7"
"Southern","SM19","2024-12-11","1","Middle Water","0.4","0.055","4.8","82","6","<1","<1","0.11","0.006","0.012","7.8","0.7","32.1","3.1","1.2","3.4","21.6","0.17","0.17","0.29","0.04","1.3","0.001","0.9"
"Southern","SM19","2024-12-11","1","Bottom Water","0.6","0.046","4.1","75","5.5","<1","1","0.12","0.006","0.013","7.8","0.7","32.1","3.1","1.3","6.3","21.6","0.17","0.19","0.32","0.04","2","0.001","1.5"
"Southern","SM2","2024-01-04","1","Surface Water","0.4","0.01","0.9","80","6.1","<1","2","0.047","0.037","0.009","8.1","<0.2","33.4","2.4","0.76","1.7","19.4","0.09","0.1","0.18","0.03","0.4","<0.001","1"
"Southern","SM2","2024-01-04","1","Middle Water","0.4","0.013","0.9","95","7.2","<1","2","0.041","0.036","0.009","8","<0.2","33.5","2.4","0.77","1.4","19.5","0.09","0.07","0.15","0.03","0.4","<0.001","0.8"
"Southern","SM2","2024-01-04","1","Bottom Water","0.4","0.011","0.6","95","7.1","<1","3","0.043","0.038","0.009","8.1","0.4","33.5","2.4","0.73","1.6","19.5","0.09","0.08","0.16","0.03","0.5","<0.001","0.7"
"Southern","SM2","2024-02-19","1","Surface Water","0.7","0.051","0.6","97","7.3","4","5","0.053","<0.002","0.006","8.2","0.4","33.9","6.7","0.49","3.4","19.6","0.11","0.08","0.14","0.04","0.6","0.002","0.8"
"Southern","SM2","2024-02-19","1","Middle Water","0.7","0.023","1.6","97","7.3","4","6","0.028","<0.002","0.004","8.2","0.4","34","6.7","0.56","3.4","19.3","0.05","0.06","0.09","0.03","0.4","<0.001","0.8"
"Southern","SM2","2024-02-19","1","Bottom Water","1","0.026","1.4","97","7.3","<1","<1","0.025","<0.002","<0.002","8.2","<0.2","34","6.7","0.58","4.7","19.2","0.05","0.08","0.11","0.03","0.2","0.001","1.2"
"Southern","SM2","2024-03-07","1","Surface Water","0.8","0.03","3","95","7","3","9","0.016","<0.002","<0.002","8","<0.2","34.4","3.2","0.25","1.2","20","0.05","0.17","0.19","0.03","0.2","<0.001","<0.5"
"Southern","SM2","2024-03-07","1","Middle Water","0.8","0.028","3.3","95","7.1","1","1","0.015","<0.002","0.002","8.1","<0.2","34.4","3.2","0.29","1.3","20","0.05","0.12","0.14","0.04","0.2","<0.001","0.5"
"Southern","SM2","2024-03-07","1","Bottom Water","0.8","0.043","1.6","95","7","<1","1","0.003","<0.002","<0.002","8.1","<0.2","34.4","3.2","0.24","2.3","20","0.05","0.12","0.13","0.03","0.3","0.002","0.6"
"Southern","SM2","2024-04-24","1","Surface Water","0.5","0.12","0.3","64","4.5","22","57","0.36","0.014","0.014","8.1","<0.2","29","3.2","1.4","3.9","24.9","0.49","0.24","0.61","0.06","1.2","0.007","1.2"
"Southern","SM2","2024-04-24","1","Middle Water","0.3","0.081","0.3","71","5","9","18","0.2","0.007","0.009","8.2","<0.2","31.3","3.2","0.86","4.1","24.6","0.29","0.2","0.41","0.05","1.7","0.005","1"
"Southern","SM2","2024-04-24","1","Bottom Water","0.2","0.045","0.6","72","5","8","10","0.11","0.002","0.005","8.2","<0.2","32.8","3.2","0.5","3.6","24.4","0.16","0.25","0.36","0.05","1.7","0.003","0.9"
